,ANO,cod_produto,PRODUÇÃO_NOVO,UND_NOVO,Technology,categoria,food_color
0,2017,1011.2120,230439.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
1,2018,1011.2120,280958.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
2,2019,1011.2120,316474.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
3,2020,1011.2120,299299.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
4,2021,1011.2120,374794.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
5,2022,1011.2120,449216.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
6,2023,1011.2120,394885.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
7,2017,1012.2100,1070795.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
8,2018,1012.2100,1195414.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
9,2019,1012.2100,1285908.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
10,2020,1012.2100,1231067.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
11,2021,1012.2100,1205798.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
12,2022,1012.2100,1315043.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
13,2023,1012.2100,1235448.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
14,2017,1012.2110,1441897.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
15,2018,1012.2110,1628186.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
16,2019,1012.2110,1562365.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
17,2020,1012.2110,1704581.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
18,2021,1012.2110,1761276.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
19,2022,1012.2110,2138467.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
20,2023,1012.2110,2071704.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
21,2017,1013.2010,135134.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
22,2018,1013.2010,170249.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
23,2019,1013.2010,112865.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
24,2020,1013.2010,140130.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
25,2021,1013.2010,120033.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
26,2022,1013.2010,149272.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
27,2023,1013.2010,187865.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
28,2017,1013.2020,268854.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
29,2018,1013.2020,377150.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
30,2019,1013.2020,381249.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
31,2020,1013.2020,262622.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
32,2021,1013.2020,209326.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
33,2022,1013.2020,288316.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
34,2023,1013.2020,425138.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
35,2017,1013.2030,171584.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
36,2018,1013.2030,211490.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
37,2019,1013.2030,228407.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
38,2020,1013.2030,225371.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
39,2021,1013.2030,221182.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
40,2022,1013.2030,238565.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
