CPF_CNPJ,NOME_PESSOA,Latitude,Longitude,ANO,CD_MUN,NM_MUN,SIGLA_UF,NFR,SETOR,SNAP,TIER,Technology,Abatement,Fuel,Region,NMVOC
00002114000170,J L PAULO E CIA LTDA ME,-22.585278,-47.165556,2017,,COSMOPOLIS,SP,2.H.2,Food and beverages industry,,Tier 2 Emission Factor,Animal rendering,,,,0.13332660000000002
00002114000170,J L PAULO E CIA LTDA ME,-22.585278,-47.165556,2018,,COSMOPOLIS,SP,2.H.2,Food and beverages industry,,Tier 2 Emission Factor,Animal rendering,,,,0.13332660000000002
00002114000170,J L PAULO E CIA LTDA ME,-22.585278,-47.165556,2019,,COSMOPOLIS,SP,2.H.2,Food and beverages industry,,Tier 2 Emission Factor,Animal rendering,,,,0.13332660000000002
00002114000170,J L PAULO E CIA LTDA ME,-22.585278,-47.165556,2020,,COSMOPOLIS,SP,2.H.2,Food and beverages industry,,Tier 2 Emission Factor,Animal rendering,,,,0.13332660000000002
00002114000170,J L PAULO E CIA LTDA ME,-22.585278,-47.165556,2021,,COSMOPOLIS,SP,2.H.2,Food and beverages industry,,Tier 2 Emission Factor,Animal rendering,,,,0.13332660000000002
00002114000170,J L PAULO E CIA LTDA ME,-22.585278,-47.165556,2022,,COSMOPOLIS,SP,2.H.2,Food and beverages industry,,Tier 2 Emission Factor,Animal rendering,,,,0.13332660000000002
00002114000170,J L PAULO E CIA LTDA ME,-22.585278,-47.165556,2023,,COSMOPOLIS,SP,2.H.2,Food and beverages industry,,Tier 2 Emission Factor,Animal rendering,,,,0.13332660000000002
00080867000102,PADARIA RECANTO COLONIAL LTDA,-29.585889,-51.093278,2017,,DOIS IRMAOS,RS,2.H.2,Food and beverages industry,,Tier 2 Emission Factor,"Cakes, biscuits and breakfast cereals",,,,0.0
00080867000102,PADARIA RECANTO COLONIAL LTDA,-29.585889,-51.093278,2018,,DOIS IRMAOS,RS,2.H.2,Food and beverages industry,,Tier 2 Emission Factor,"Cakes, biscuits and breakfast cereals",,,,0.0
00080867000102,PADARIA RECANTO COLONIAL LTDA,-29.585889,-51.093278,2019,,DOIS IRMAOS,RS,2.H.2,Food and beverages industry,,Tier 2 Emission Factor,"Cakes, biscuits and breakfast cereals",,,,0.0
